first_name,surname,team,date,stage_of_all_ireland,games,score_breakdown,total_goals,total_points
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
Shane,Dooley,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Goals from play,1,0
Joe,Bergin,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Goals from play,1,0
Joe,Bergin,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
David ,King,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
David ,King,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
Dan,Currams,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
Shane,Kinsella,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from play,0,1
Eoghan,Cahill,Offaly,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from free,0,1
Joe,Canning,Galway,12/05/2018,leinster,01. Offaly 2-15 Galway 5-18,Points from 65,0,1
